,Unnamed: 0,Lang_ID,GB020,GB021,GB022,GB023,GB026,GB027,GB028,GB030,GB031,GB035,GB036,GB037,GB038,GB039,GB041,GB042,GB043,GB044,GB046,GB047,GB048,GB049,GB051,GB052,GB053,GB054,GB057,GB058,GB059,GB068,GB069,GB070,GB071,GB072,GB073,GB074,GB075,GB079,GB080,GB081,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB095,GB096,GB098,GB099,GB103,GB104,GB105,GB107,GB108,GB109,GB110,GB111,GB113,GB114,GB115,GB116,GB117,GB118,GB119,GB120,GB121,GB122,GB123,GB124,GB126,GB127,GB129,GB131,GB132,GB133,GB134,GB135,GB136,GB137,GB138,GB139,GB140,GB146,GB147,GB148,GB149,GB150,GB151,GB152,GB155,GB156,GB158,GB159,GB160,GB165,GB166,GB167,GB170,GB171,GB172,GB177,GB184,GB185,GB186,GB187,GB188,GB192,GB196,GB197,GB198,GB204,GB250,GB252,GB253,GB254,GB256,GB257,GB260,GB262,GB263,GB264,GB265,GB266,GB270,GB273,GB275,GB276,GB285,GB286,GB291,GB296,GB297,GB298,GB299,GB300,GB301,GB302,GB303,GB304,GB305,GB306,GB309,GB312,GB313,GB314,GB315,GB316,GB317,GB318,GB319,GB320,GB321,GB322,GB323,GB324,GB325,GB326,GB327,GB328,GB329,GB330,GB331,GB333,GB334,GB335,GB336,GB400,GB401,GB402,GB403,GB408,GB409,GB410,GB415,GB421,GB422,GB430,GB431,GB432,GB433,GB519,GB520,GB521,GB522,GB065_1,GB065_2,GB193_1,GB193_2,GB203_1,GB203_2,GB024_1,GB024_2,GB130_1,GB130_2,GB025_1,GB025_2
224,224,bawm1236,0,0,0,0,0,0,0,0,0,0,1,0,0,1,?,0,0,0,?,1,1,1,0,0,0,0,0,0,0,?,1,0,0,0,0,0,1,?,1,?,0,0,0,0,0,?,0,?,0,?,0,0,0,0,1,0,0,0,1,0,0,0,1,?,?,0,1,?,0,0,0,?,?,0,1,?,0,0,0,1,1,?,0,1,0,1,?,1,?,?,0,?,0,0,1,0,?,?,?,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,?,0,0,1,0,0,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,1,1,0,0,1,0,0,?,?,?,0,0,0,1,0,0,?,?,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1
232,232,bekw1241,0,0,0,0,0,?,1,0,0,0,0,0,0,1,0,1,0,1,0,?,?,?,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,?,0,0,0,0,0,0,0,?,?,0,1,1,0,0,0,0,0,0,1,?,0,0,1,0,1,1,1,0,0,?,1,0,0,0,0,0,?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,?,?,0,0,0,1,1,?,?,?,?,?,0,0,0,1,0,?,?,?,?,?,?,0,0,0,?,0,0,1,?,1,0,0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,1,?,?,?,?,?,0,1,1,0,0,0,?,?,0,0,1,0,?,?,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
242,242,bemb1257,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,?,?,1,?,0,1,1,1,0,0,?,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,?,?,?,?,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,?,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,?,0,0,?,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,?,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1
258,258,bian1252,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,?,?,?,0,0,0,0,0,0,1,0,?,1,1,1,1,?,?,1,1,0,0,0,0,1,0,1,0,1,0,1,?,?,?,?,0,0,1,0,1,0,0,0,0,?,?,0,0,1,0,0,0,?,1,0,?,?,0,0,0,1,?,1,?,1,0,1,?,0,?,?,?,0,1,1,0,0,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?,?,?,?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,?,0,0,1,0,1,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,?,?,0,0,1,1,0,0,0,0,0,1,1,0,?,?,0,0,1,0,1,?,0,0,0,0,1,0,0,0,0,1,1,1,0,1,?,?,0,1,1,0,0,1
272,272,bimi1240,1,1,0,1,?,0,0,1,1,0,1,1,0,0,0,0,0,0,?,1,?,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,?,?,0,0,0,1,1,1,1,1,0,1,?,?,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,?,0,0,0,1,0,?,0,0,0,0,?,?,?,?,?,?,0,0,0,0,0,0,1,?,?,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,?,?,0,0,1,0,1,0,?,0,0,0,0,1,0,?,0,0,1,0,1,0,?,?,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
273,273,bina1277,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,?,?,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,?,0,1,0,?,?,0,0,1,1,1,0,0,1,0,?,?,0,0,0,1,?,?,1,1,0,?,?,?,0,0,0,1,1,1,0,0,1,1,0,0,0,?,0,0,0,0,0,0,0,?,?,0,0,0,0,?,?,?,?,?,?,0,0,0,0,0,?,?,?,?,?,?,0,1,0,?,0,0,0,0,?,0,0,?,?,?,1,1,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,1,0,?,0,0,0,1,0,0,?,?,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
280,280,bisl1239,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,?,?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,?,1,0,0,0,0,?,1,1,0,0,0,1,0,1,1,1,0,0,0,?,?,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,?,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,?,?,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1
292,292,bola1250,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,?,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,?,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1
305,305,bora1263,1,1,1,0,?,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,?,?,1,1,1,0,1,0,0,1,1,0,?,1,0,0,1,0,0,1,0,0,0,1,0,0,?,1,1,0,0,?,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,?,?,?,?,?,?,0,0,0,1,0,0,0,?,?,0,0,?,0,0,1,1,1,0,0,0,0,0,0,0,?,0,1,0,0,0,1,0,1,0,0,0,1,0,?,0,?,?,?,1,0,0,0,?,?,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0
307,307,bord1248,?,1,0,1,0,0,1,0,0,1,0,0,0,0,?,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,?,0,0,0,0,0,1,0,?,?,?,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,?,0,1,0,0,0,0,1,1,0,1,?,1,0,0,1,0,0,0,0,0,?,?,?,?,0,0,0,0,?,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,?,1,0,0,0,1,0,0,1,0,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,1,1,0,1,?,?,0,1,1,0,1,0
308,308,bori1243,1,1,0,1,0,1,0,0,1,0,0,0,1,0,?,0,0,0,?,1,?,1,0,0,0,0,1,0,0,1,0,?,0,?,0,0,1,?,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,?,1,1,?,?,0,1,1,1,0,?,?,0,0,0,?,?,?,?,0,0,0,0,1,1,1,1,0,1,1,1,1,?,?,0,?,?,?,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,?,?,0,0,0,0,0,?,?,?,?,?,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,?,0,?,?,?,0,0,0,1,0,0,0,0,0,0,0,0,0,?,?,0,0,1,?,?,?,?,?,1,0,0,0,0,0,?,?,1,0,0,0,?,?,0,1,1,0,0,0,0,?,1,0,1,1,0,1,0,1,1,0,1,1
312,312,boto1242,0,0,0,0,?,1,1,0,0,1,0,0,0,0,?,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,?,0,0,0,1,0,0,?,0,0,0,0,0,0,1,?,0,1,0,0,1,1,0,0,1,?,0,0,0,?,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,?,0,0,1,0,0,0,0,0,?,1,0,0,0,0,0,0,0,0,1,?,?,?,?,?,?,0,0,0,?,0,1,1,?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,?,1,0,0,0,0,0,?,?,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
318,318,brib1243,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,?,1,?,0,0,0,0,1,0,1,?,0,1,1,0,0,0,1,?,1,0,0,1,1,1,1,0,?,0,1,1,?,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,?,?,1,?,0,0,0,1,?,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,?,?,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,?,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,?,1,1,0,1,1,1,1,0,0,0,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,1,0,0,1,0,1,0,1,1,0,0,1
325,325,buga1250,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,?,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,?,?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,?,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
327,327,bugi1244,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,?,?,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,?,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,?,0,0,0,1,?,0,0,0,0,?,1,0,0,0,0,1,0,?,?,0,0,0,0,1,1,?,0,1,0,0,0,1,0,0,?,0,?,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,?,?,1,0,1,1,1,0
328,328,bugl1243,0,0,0,1,1,1,1,0,0,1,0,0,0,0,?,0,0,1,?,1,1,?,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,?,0,1,1,0,0,0,0,?,0,no_cov,no_cov,no_cov,1,?,0,?,0,0,0,0,1,1,0,1,0,1,?,0,1,0,0,0,0,0,0,0,?,0,0,0,0,0,?,0,0,0,0,0,0,0,?,?,0,0,0,0,?,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,?,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,?,?,0,?,1,1,0,1,0,1,0,0,1,0,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,1,0,0,1,0,1,0,1,1,0,0,1
338,338,bulu1251,0,0,0,0,0,0,0,1,0,1,0,?,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,?,?,0,0,0,0,1,1,0,1,0,0,0,1,?,0,0,0,0,0,0,0,0,0,0,?,?,1,1,0,0,0,0,?,?,?,0,1,?,0,0,0,?,?,0,0,0,0,0,1,0,1,1,?,1,0,1,?,?,1,0,0,1,0,?,?,0,1,?,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,?,1,0,1,0,0,0,0,0,0,0,0,?,?,?,0,0,0,1,?,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,?,1,1,0,0,0,0,1,0,0,0,0,0,?,?,0,0,1,0,?,?,1,1,0,0,1,1,1,?,0,1,?,?,?,?,0,1,1,0,0,1
352,352,busa1253,1,0,1,1,0,0,0,0,0,1,0,0,0,0,?,0,0,1,?,?,1,?,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,?,?,?,1,0,1,1,0,1,1,0,1,?,0,0,0,1,1,0,?,1,0,?,?,?,0,0,0,?,0,0,0,0,1,?,1,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,?,0,1,0,0,0,1,0,0,1,?,?,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,?,?,0,1,0,1,1,0,0,0,0,1,0,0,0,1,?,?,1,0,1,?,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
362,362,cacu1241,0,0,0,0,?,?,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,?,0,1,1,1,1,0,?,1,1,0,0,1,1,?,0,1,0,1,0,0,0,0,0,0,?,?,?,1,1,0,0,0,?,1,1,0,1,1,0,0,0,1,?,?,1,?,0,0,0,1,1,1,1,0,1,1,1,0,?,?,0,1,1,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,?,?,?,?,?,0,1,0,1,?,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,?,?,0,1,1,0,1,0,1,0
372,372,capa1241,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,?,?,1,?,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,?,1,0,1,1,1,1,1,0,?,0,?,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,?,0,0,0,?,?,0,?,?,0,0,0,1,1,1,0,1,0,0,?,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,?,0,?,?,1,?,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,?,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,?,1,0,1,0,0,0,?,?,?,?,1,?,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,?,?,1,1,1,0,1,0
374,374,carn1240,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,?,1,1,0,0,0,1,1,1,0,0,?,0,0,0,1,1,1,0,?,0,1,0,0,0,0,1,0,1,1,1,?,1,1,0,?,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
378,378,cavi1250,0,0,0,0,0,1,0,0,1,1,0,0,0,1,?,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,?,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?,?,1,0,1,1,1,1,0,no_cov,no_cov,no_cov,0,?,0,?,1,0,1,1,1,0,?,0,1,0,1,1,?,1,1,0,?,1,?,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,1,?,?,0,0,1,0,0,?,?,?,?,?,?,0,0,0,1,0,1,1,?,?,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,?,1,0,0,0,1,1,1,?,1,1,0,0,0,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,1,0,0,1,1,0,1,0,1,1,1,0
385,385,cent1992,0,0,0,0,0,?,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,?,?,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,?,0,0,0,0,1,0,1,0,0,0,?,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1
390,390,cent2084,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,?,0,1,0,1,0,1,1,0,0,0,?,1,0,1,?,0,1,0,0,?,?,0,0,1,0,0,0,0,?,0,?,?,?,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,0,0,?,?,?,?,?,?,1,0,0,?,0,0,?,?,0,0,1,0,0,1,0,0,0,0,0,1,0,?,0,1,1,1,1,0,1,0,0,1,0,1
391,391,cent2087,0,0,0,0,?,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,?,0,1,1,1,0,1,0,1,1,?,1,1,?,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,?,1,?,0,?,?,0,?,?,?,1,0,0,1,?,?,0,1,0,0,?,0,0,0,?,?,?,1,0,1,1,1,0,0,?,0,0,0,?,1,0,0,1,?,0,0,0,?,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,?,0,0,0,?,?,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,?,?,0,1,0,?,?,?,?,?,1,0,0,0,?,?,?,?,1,?,1,1,?,?,0,0,0,0,0,0,0,0,0,1,1,0,?,?,1,0,0,1,1,0
396,396,cent2127,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,?,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0
397,397,cent2131,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,1,0,0,0,0,0,0,0,0,0,?,1,1,?,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,?,1,0,1,1,0,0,1,?,0,0,1,?,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,?,?,0,1,0,0,1,0,?,1,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,?,0,0,0,?,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,?,0,1,1,0,0,0,1,0,0,0,1,0,?,?,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
400,400,cent2150,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,?,1,?,?,0,0,1,0,1,1,?,0,?,?,1,?,0,0,0,1,1,1,1,1,0,1,0,1,?,0,0,0,1,1,?,0,0,0,1,0,0,?,0,0,0,0,1,1,0,?,?,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,?,0,1,0,?,0,?,0,?,?,?,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,1,0,0,1,0,1,0,1,1,0,0,1
401,401,cent2292,1,0,1,0,0,0,1,0,0,1,0,0,0,1,?,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,?,0,1,0,0,0,?,?,1,0,0,1,0,0,0,0,0,1,?,?,0,1,?,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,?,?,1,1,?,1,1,1,0,0,?,0,0,0,0,0,1,1,0,?,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,?,0,1,1,1,?,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,1,1,?,0,0,1,0,0,0,0,?,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0
405,405,chac1251,?,0,0,?,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,?,1,1,0,0,0,0,0,0,1,?,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,?,1,0,1,?,1,1,1,1,0,1,1,?,0,0,0,?,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,?,?,?,?,?,?,0,1,0,?,0,0,1,0,?,0,0,0,1,?,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,?,?,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
406,406,chad1249,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,?,?,?,0,0,?,no_cov,no_cov,no_cov,0,0,0,0,0,0,0,1,0,1,?,1,0,1,0,1,?,0,0,0,?,0,0,?,?,?,?,?,0,0,0,1,1,0,0,1,1,0,?,?,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,?,?,?,?,?,?,0,0,0,?,0,0,1,0,?,?,0,?,0,0,0,0,0,?,?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,?,?,1,0,0,0,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,no_cov,0,1,0,1,1,0,1,1,1,0,0,1
